resto_id,nama_restoran,preferensi_makanan,lokasi_restoran,Harga_Rata-Rata_Makanan_di_Toko (Rp),rating_toko,jenis_suasana,toko_sering_diskon_(Ya/Tidak),variasi_makanan,pelayanan_khusus_pasangan_(Ya/Tidak),entertainment,keramaian_restoran,disajikan/ambil_sendiri,all_you_can_eat/ala_carte,Lokasi
RT01J1,"Mie Bandung Chinese Food, Ngampilan",Chinese,3.23 km,39000,4.7,Santai,Tidak,"Bakmi, Nasi Goreng, Mie Ayam, Kwetiaw, Bakso Pangsit, Udang Goreng, Sop Ayam, Cumi Goreng, Capjay, Ayam Kecap",Tidak,3,3,Disajikan,Ala Carte,https://maps.app.goo.gl/yEFoAbWDFhBcanBZ9
RT02J1,"Soto Tauco Pekalongan Bu Iswi, Jalan Bimokurdo No.46, Gondokusuman, Demangan",Indonesia,3.01 km,19000,3.7,Santai,Tidak,"Bakso, Soto Tauco, Lontong, Es Teh, Es Jeruk, Teh Hangat",Tidak,2,2,Disajikan,Ala Carte,https://maps.app.goo.gl/j9gT3yrbncuXKaC48
RT03J1,"Bakso Urat dan Mie Ayam ""Pak Mir""",Indonesia,1.44 km,18000,3.6,Santai,Tidak,"Bakso, Sop Ayam, Jajanan, Es Jeruk, Es Teh",Tidak,2,2,Disajikan,Ala Carte,https://maps.app.goo.gl/HLC7w9tvJ9wzLMNWA
RT04J1,Soto Ayam Kampung Dan Soto Daging Sapi Pak Gendut,Indonesia,0.83 km,22000,3.8,Santai,Tidak,"Soto Daging, Soto Ayam, Perkedel, Es Teh, Es Jeruk",Tidak,1,2,Disajikan,Ala Carte,https://maps.app.goo.gl/rfywQEnYXS61CDRj6
RT05J1,Toba Tabo,Chinese,2.13 km,40000,4.7,Santai,Tidak,"Sate Babi, Babi Kecap, Bakmi Babi, Kopi, Es Kopi, Es Teh",Tidak,1,3,Disajikan,Ala Carte,https://maps.app.goo.gl/oJM1xoJi1ttNvh9r7
RT06J1,Sop Ayam Klaten Seturan,Indonesia,3.1 km,16000,4.5,Santai,Tidak,"Sop Ayam, Tempe Goreng, Sate Telur, Teh Panas, Es Jeruk, Air Mineral",Tidak,4,3,Disajikan,Ala Carte,https://maps.app.goo.gl/kxKdSA2ciEN6cn8u9
RT07J1,"Mochi Sakura, Plaza Ambarukmo",Japanese,3.73 km,41000,4.2,Santai,Ya,Mochi,Tidak,4,1,Disajikan,Ala Carte,https://maps.app.goo.gl/BAvqoP8TTZjdg1sb9
RT08J1,"Martabak Okonomiyaki BAMLY, Sonopakis",Japanese,5.58 km,25000,4.6,Santai,Ya,"Martabak, Okonomiyaki, Lemon Tea, Apple Tea",Tidak,2,3,Disajikan,Ala Carte,https://maps.app.goo.gl/CDQ3n5s46B3ZjnFb7
RT09J1,"Nasi Goreng Gemilang, Gedongkuning",Chinese,1.97 km,19000,4.7,Santai,Ya,"Nasi Goreng, Bihun Goreng, Kwetiaw, Fuyunghay, Ayam Penyet, Es Jeruk, Es Teh, Nutrisari",Tidak,3,2,Disajikan,Ala Carte,https://maps.app.goo.gl/a13SZq59zGNyHu357
RT10J1,"Restoran Mahkota (Tiong San), Pajeksan",Chinese,3.17 km,132000,4.7,Santai,Tidak,"Bihun Goreng, Bihun Kuah, Mie Goreng, Sup Bibir Ikan, Gurame Goreng, Babi Kecap, Sate Babi, Ayam Goreng",Tidak,3,1,Disajikan,Ala Carte,https://maps.app.goo.gl/LphJVYuXFuAHcTyP6
RT11J1,"Soto Pak Zaenal Barokah, Warungboto Umbulharjo",Indonesia,0.65 km,15000,4.5,Santai,Tidak,"Bakso, Soto Daging, Soto Ayam, Perkedel, Penyek, Tempe Goreng, Sate Usus, Sate Telur, Lontong, Es Teh, Es Jeruk",Tidak,4,2,Disajikan,Ala Carte,https://maps.app.goo.gl/qoTB6muZQ2xu5au3A
RT12J1,"Gyudel Bowl & Nasi Goreng, Depok",Japanese,5.2 km,29000,4.7,Formal,Tidak,"Nasi Goreng, Nasi Rames, Es Teh Serai, Lemon Tea",Tidak,2,1,Disajikan,Ala Carte,https://maps.app.goo.gl/7gCqtHAPS1Uer2o6A
RT13J1,"Sushi Story, Gejayan",Japanese,5.76 km,62000,4.6,Formal,Tidak,"Shusi, Macha Tea, Tempura",Tidak,2,3,Disajikan,Ala Carte,https://maps.app.goo.gl/Y15WzXPE7HjvvUnG6
RT14J1,"Burgerax, Imogiri Timur",Western,3.24 km,38000,4.6,Santai,Tidak,"Burger, Coca-Cola",Tidak,4,2,Disajikan,Ala Carte,https://maps.app.goo.gl/4rd73C4gZ1QTwVcn9
RT15J1,"Yamie Panda, Cokroaminoto",Chinese,4.3 km,28000,4.7,Santai,Ya,"Mie Yamin, Es Teh",Ya,3,1,Disajikan,Ala Carte,https://maps.app.goo.gl/J6DyhDyoSZ5Dazvx9
